"record_index","cell_id","raw_class","source_sample","split","cell_dir"
"30","Hela_04_cell_006","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_006"
"31","Hela_04_cell_007","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_007"
"32","Hela_04_cell_008","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_008"
"33","Hela_05_cell_001","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_001"
"34","Hela_05_cell_002","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_002"
"35","Hela_05_cell_003","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_003"
"36","Hela_05_cell_004","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_004"
"37","Hela_05_cell_005","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_005"
"38","Hela_05_cell_006","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_006"
"39","Hela_05_cell_007","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_007"
"40","Hela_05_cell_008","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_008"
"41","Hela_05_cell_009","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_009"
"42","Hela_05_cell_010","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_010"
"43","Hela_05_cell_011","HeLa","Hela_05","train","data\raw\res\HeLa\Hela_05_cell_011"
"44","Hela_06_cell_001","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_001"
"45","Hela_06_cell_002","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_002"
"46","Hela_06_cell_003","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_003"
"47","Hela_06_cell_004","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_004"
"48","Hela_06_cell_005","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_005"
"49","Hela_06_cell_006","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_006"
"50","Hela_06_cell_007","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_007"
"51","Hela_06_cell_008","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_008"
"52","Hela_06_cell_009","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_009"
"53","Hela_06_cell_010","HeLa","Hela_06","test","data\raw\res\HeLa\Hela_06_cell_010"
"54","Hela_07_cell_001","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_001"
"55","Hela_07_cell_002","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_002"
"56","Hela_07_cell_003","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_003"
"57","Hela_07_cell_004","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_004"
"58","Hela_07_cell_005","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_005"
"59","Hela_07_cell_006","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_006"
"60","Hela_07_cell_007","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_007"
"61","Hela_07_cell_008","HeLa","Hela_07","test","data\raw\res\HeLa\Hela_07_cell_008"
"62","Hela_08_cell_001","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_001"
"63","Hela_08_cell_002","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_002"
"64","Hela_08_cell_003","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_003"
"65","Hela_08_cell_004","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_004"
"66","Hela_08_cell_005","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_005"
"67","Hela_08_cell_006","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_006"
"68","Hela_08_cell_007","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_007"
"69","Hela_08_cell_008","HeLa","Hela_08","val","data\raw\res\HeLa\Hela_08_cell_008"
"70","Hela_09_cell_001","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_001"
"71","Hela_09_cell_002","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_002"
"72","Hela_09_cell_003","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_003"
"73","Hela_09_cell_004","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_004"
"74","Hela_09_cell_005","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_005"
"75","Hela_09_cell_006","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_006"
"76","Hela_09_cell_007","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_007"
"77","Hela_09_cell_008","HeLa","Hela_09","train","data\raw\res\HeLa\Hela_09_cell_008"
"78","Hela_10_cell_001","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_001"
"79","Hela_10_cell_002","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_002"
"80","Hela_10_cell_003","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_003"
"81","Hela_10_cell_004","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_004"
"82","Hela_10_cell_005","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_005"
"83","Hela_10_cell_006","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_006"
"84","Hela_10_cell_007","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_007"
"85","Hela_10_cell_008","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_008"
"86","Hela_10_cell_009","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_009"
"87","Hela_10_cell_010","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_010"
"88","Hela_10_cell_011","HeLa","Hela_10","train","data\raw\res\HeLa\Hela_10_cell_011"
"89","oa_02_cell_001","OA","oa_02","train","data\raw\res\OA\oa_02_cell_001"
"90","oa_02_cell_002","OA","oa_02","train","data\raw\res\OA\oa_02_cell_002"
"91","oa_02_cell_003","OA","oa_02","train","data\raw\res\OA\oa_02_cell_003"
"92","oa_02_cell_004","OA","oa_02","train","data\raw\res\OA\oa_02_cell_004"
"93","oa_02_cell_005","OA","oa_02","train","data\raw\res\OA\oa_02_cell_005"
"94","oa_02_cell_006","OA","oa_02","train","data\raw\res\OA\oa_02_cell_006"
"95","oa_03_cell_001","OA","oa_03","train","data\raw\res\OA\oa_03_cell_001"
"96","oa_03_cell_002","OA","oa_03","train","data\raw\res\OA\oa_03_cell_002"
"97","oa_03_cell_003","OA","oa_03","train","data\raw\res\OA\oa_03_cell_003"
"98","oa_03_cell_004","OA","oa_03","train","data\raw\res\OA\oa_03_cell_004"
"99","oa_03_cell_005","OA","oa_03","train","data\raw\res\OA\oa_03_cell_005"
"100","oa_03_cell_006","OA","oa_03","train","data\raw\res\OA\oa_03_cell_006"
"101","oa_03_cell_007","OA","oa_03","train","data\raw\res\OA\oa_03_cell_007"
"102","oa_03_cell_008","OA","oa_03","train","data\raw\res\OA\oa_03_cell_008"
"103","oa_03_cell_009","OA","oa_03","train","data\raw\res\OA\oa_03_cell_009"
"104","oa_04_cell_001","OA","oa_04","val","data\raw\res\OA\oa_04_cell_001"
"105","oa_04_cell_002","OA","oa_04","val","data\raw\res\OA\oa_04_cell_002"
"106","oa_04_cell_003","OA","oa_04","val","data\raw\res\OA\oa_04_cell_003"
"107","oa_04_cell_004","OA","oa_04","val","data\raw\res\OA\oa_04_cell_004"
"108","oa_05_cell_001","OA","oa_05","train","data\raw\res\OA\oa_05_cell_001"
"109","oa_05_cell_002","OA","oa_05","train","data\raw\res\OA\oa_05_cell_002"
"110","oa_05_cell_003","OA","oa_05","train","data\raw\res\OA\oa_05_cell_003"
"111","oa_05_cell_004","OA","oa_05","train","data\raw\res\OA\oa_05_cell_004"
"112","oa_05_cell_005","OA","oa_05","train","data\raw\res\OA\oa_05_cell_005"
"113","oa_08_cell_001","OA","oa_08","test","data\raw\res\OA\oa_08_cell_001"
"114","oa_08_cell_002","OA","oa_08","test","data\raw\res\OA\oa_08_cell_002"
"115","oa_08_cell_003","OA","oa_08","test","data\raw\res\OA\oa_08_cell_003"
"116","oa_09_cell_001","OA","oa_09","val","data\raw\res\OA\oa_09_cell_001"
"117","oa_09_cell_002","OA","oa_09","val","data\raw\res\OA\oa_09_cell_002"
"118","oa_09_cell_003","OA","oa_09","val","data\raw\res\OA\oa_09_cell_003"
"119","oa_09_cell_004","OA","oa_09","val","data\raw\res\OA\oa_09_cell_004"
"120","oa_09_cell_005","OA","oa_09","val","data\raw\res\OA\oa_09_cell_005"
"121","oa_10_cell_001","OA","oa_10","train","data\raw\res\OA\oa_10_cell_001"
"122","oa_10_cell_002","OA","oa_10","train","data\raw\res\OA\oa_10_cell_002"
"123","oa_10_cell_003","OA","oa_10","train","data\raw\res\OA\oa_10_cell_003"
"124","oa_11_cell_001","OA","oa_11","test","data\raw\res\OA\oa_11_cell_001"
"125","oa_11_cell_002","OA","oa_11","test","data\raw\res\OA\oa_11_cell_002"
"126","oa_11_cell_003","OA","oa_11","test","data\raw\res\OA\oa_11_cell_003"
"127","oa_11_cell_004","OA","oa_11","test","data\raw\res\OA\oa_11_cell_004"
"128","oa_12_cell_001","OA","oa_12","train","data\raw\res\OA\oa_12_cell_001"
"129","oa_12_cell_002","OA","oa_12","train","data\raw\res\OA\oa_12_cell_002"
"130","oa_12_cell_003","OA","oa_12","train","data\raw\res\OA\oa_12_cell_003"
"131","oa_12_cell_004","OA","oa_12","train","data\raw\res\OA\oa_12_cell_004"
"132","oa_12_cell_005","OA","oa_12","train","data\raw\res\OA\oa_12_cell_005"
"133","oa_12_cell_006","OA","oa_12","train","data\raw\res\OA\oa_12_cell_006"
"134","oa_13_cell_001","OA","oa_13","train","data\raw\res\OA\oa_13_cell_001"
"135","oa_13_cell_002","OA","oa_13","train","data\raw\res\OA\oa_13_cell_002"
"136","oa_13_cell_003","OA","oa_13","train","data\raw\res\OA\oa_13_cell_003"
"137","oa_13_cell_004","OA","oa_13","train","data\raw\res\OA\oa_13_cell_004"
"138","oa_13_cell_005","OA","oa_13","train","data\raw\res\OA\oa_13_cell_005"
"139","oa_14_cell_001","OA","oa_14","train","data\raw\res\OA\oa_14_cell_001"
"140","oa_14_cell_002","OA","oa_14","train","data\raw\res\OA\oa_14_cell_002"
"141","oa_14_cell_003","OA","oa_14","train","data\raw\res\OA\oa_14_cell_003"
"142","oa_14_cell_004","OA","oa_14","train","data\raw\res\OA\oa_14_cell_004"
"143","oa_14_cell_005","OA","oa_14","train","data\raw\res\OA\oa_14_cell_005"
"144","oa_14_cell_006","OA","oa_14","train","data\raw\res\OA\oa_14_cell_006"
"145","oa_15_cell_001","OA","oa_15","train","data\raw\res\OA\oa_15_cell_001"
"146","oa_15_cell_002","OA","oa_15","train","data\raw\res\OA\oa_15_cell_002"
"147","oa_15_cell_003","OA","oa_15","train","data\raw\res\OA\oa_15_cell_003"
"148","oa_15_cell_004","OA","oa_15","train","data\raw\res\OA\oa_15_cell_004"
"149","oa_15_cell_005","OA","oa_15","train","data\raw\res\OA\oa_15_cell_005"
"150","oa_15_cell_006","OA","oa_15","train","data\raw\res\OA\oa_15_cell_006"
"151","oa_16_cell_001","OA","oa_16","train","data\raw\res\OA\oa_16_cell_001"
"152","oa_16_cell_002","OA","oa_16","train","data\raw\res\OA\oa_16_cell_002"
"153","oa_16_cell_003","OA","oa_16","train","data\raw\res\OA\oa_16_cell_003"
"154","oa_16_cell_004","OA","oa_16","train","data\raw\res\OA\oa_16_cell_004"
"155","oa_16_cell_005","OA","oa_16","train","data\raw\res\OA\oa_16_cell_005"
"156","oa_16_cell_006","OA","oa_16","train","data\raw\res\OA\oa_16_cell_006"
"157","oa_16_cell_007","OA","oa_16","train","data\raw\res\OA\oa_16_cell_007"
"158","oa_16_cell_008","OA","oa_16","train","data\raw\res\OA\oa_16_cell_008"
"159","oa_17_cell_001","OA","oa_17","val","data\raw\res\OA\oa_17_cell_001"
"160","oa_17_cell_002","OA","oa_17","val","data\raw\res\OA\oa_17_cell_002"
"161","oa_17_cell_003","OA","oa_17","val","data\raw\res\OA\oa_17_cell_003"
"162","oa_17_cell_004","OA","oa_17","val","data\raw\res\OA\oa_17_cell_004"
"163","oa_17_cell_005","OA","oa_17","val","data\raw\res\OA\oa_17_cell_005"
"164","oa_17_cell_006","OA","oa_17","val","data\raw\res\OA\oa_17_cell_006"
"165","oa_17_cell_007","OA","oa_17","val","data\raw\res\OA\oa_17_cell_007"
"166","oa_17_cell_008","OA","oa_17","val","data\raw\res\OA\oa_17_cell_008"
"167","oa_17_cell_009","OA","oa_17","val","data\raw\res\OA\oa_17_cell_009"
"168","oa_19_cell_001","OA","oa_19","train","data\raw\res\OA\oa_19_cell_001"
"169","oa_19_cell_002","OA","oa_19","train","data\raw\res\OA\oa_19_cell_002"
"170","oa_19_cell_003","OA","oa_19","train","data\raw\res\OA\oa_19_cell_003"
"171","oa_19_cell_004","OA","oa_19","train","data\raw\res\OA\oa_19_cell_004"
"172","oa_19_cell_005","OA","oa_19","train","data\raw\res\OA\oa_19_cell_005"
"173","oa_19_cell_006","OA","oa_19","train","data\raw\res\OA\oa_19_cell_006"
"174","oa_19_cell_007","OA","oa_19","train","data\raw\res\OA\oa_19_cell_007"
"175","oa_19_cell_008","OA","oa_19","train","data\raw\res\OA\oa_19_cell_008"
"176","oa_20_cell_001","OA","oa_20","train","data\raw\res\OA\oa_20_cell_001"
"177","oa_20_cell_002","OA","oa_20","train","data\raw\res\OA\oa_20_cell_002"
"178","oa_20_cell_003","OA","oa_20","train","data\raw\res\OA\oa_20_cell_003"
"179","oa_20_cell_004","OA","oa_20","train","data\raw\res\OA\oa_20_cell_004"
"180","oa_20_cell_005","OA","oa_20","train","data\raw\res\OA\oa_20_cell_005"
"181","oa_20_cell_006","OA","oa_20","train","data\raw\res\OA\oa_20_cell_006"
"182","oa_21_cell_001","OA","oa_21","test","data\raw\res\OA\oa_21_cell_001"
"183","oa_21_cell_003","OA","oa_21","test","data\raw\res\OA\oa_21_cell_003"
"184","oa_21_cell_004","OA","oa_21","test","data\raw\res\OA\oa_21_cell_004"
"185","oa_21_cell_005","OA","oa_21","test","data\raw\res\OA\oa_21_cell_005"
"186","oa_21_cell_006","OA","oa_21","test","data\raw\res\OA\oa_21_cell_006"
"187","oa_21_cell_007","OA","oa_21","test","data\raw\res\OA\oa_21_cell_007"
"188","oa_21_cell_008","OA","oa_21","test","data\raw\res\OA\oa_21_cell_008"
"189","HepG2_01_cell_001","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_001"
"190","HepG2_01_cell_002","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_002"
"191","HepG2_01_cell_003","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_003"
"192","HepG2_01_cell_004","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_004"
"193","HepG2_01_cell_005","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_005"
"194","HepG2_01_cell_006","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_006"
"195","HepG2_01_cell_007","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_007"
"196","HepG2_01_cell_008","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_008"
"197","HepG2_01_cell_009","HepG2","HepG2_01","train","data\raw\res\HepG2\HepG2_01_cell_009"
"198","HepG2_02_cell_001","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_001"
"199","HepG2_02_cell_002","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_002"
"200","HepG2_02_cell_003","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_003"
"201","HepG2_02_cell_004","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_004"
"202","HepG2_02_cell_005","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_005"
"203","HepG2_02_cell_006","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_006"
"204","HepG2_02_cell_007","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_007"
"205","HepG2_02_cell_008","HepG2","HepG2_02","val","data\raw\res\HepG2\HepG2_02_cell_008"
"206","HepG2_03_cell_001","HepG2","HepG2_03","train","data\raw\res\HepG2\HepG2_03_cell_001"
"207","HepG2_03_cell_002","HepG2","HepG2_03","train","data\raw\res\HepG2\HepG2_03_cell_002"
"208","HepG2_03_cell_003","HepG2","HepG2_03","train","data\raw\res\HepG2\HepG2_03_cell_003"
"209","HepG2_03_cell_004","HepG2","HepG2_03","train","data\raw\res\HepG2\HepG2_03_cell_004"
"210","HepG2_04_cell_001","HepG2","HepG2_04","train","data\raw\res\HepG2\HepG2_04_cell_001"
"211","HepG2_04_cell_002","HepG2","HepG2_04","train","data\raw\res\HepG2\HepG2_04_cell_002"
"212","HepG2_05_cell_001","HepG2","HepG2_05","val","data\raw\res\HepG2\HepG2_05_cell_001"
"213","HepG2_05_cell_002","HepG2","HepG2_05","val","data\raw\res\HepG2\HepG2_05_cell_002"
"214","HepG2_05_cell_003","HepG2","HepG2_05","val","data\raw\res\HepG2\HepG2_05_cell_003"
"215","HepG2_05_cell_004","HepG2","HepG2_05","val","data\raw\res\HepG2\HepG2_05_cell_004"
"216","HepG2_06_cell_001","HepG2","HepG2_06","train","data\raw\res\HepG2\HepG2_06_cell_001"
"217","HepG2_06_cell_002","HepG2","HepG2_06","train","data\raw\res\HepG2\HepG2_06_cell_002"
"218","HepG2_06_cell_003","HepG2","HepG2_06","train","data\raw\res\HepG2\HepG2_06_cell_003"
"219","HepG2_06_cell_004","HepG2","HepG2_06","train","data\raw\res\HepG2\HepG2_06_cell_004"
"220","HepG2_06_cell_005","HepG2","HepG2_06","train","data\raw\res\HepG2\HepG2_06_cell_005"
"221","HepG2_07_cell_001","HepG2","HepG2_07","test","data\raw\res\HepG2\HepG2_07_cell_001"
"222","HepG2_07_cell_002","HepG2","HepG2_07","test","data\raw\res\HepG2\HepG2_07_cell_002"
"223","HepG2_07_cell_003","HepG2","HepG2_07","test","data\raw\res\HepG2\HepG2_07_cell_003"
"224","HepG2_07_cell_004","HepG2","HepG2_07","test","data\raw\res\HepG2\HepG2_07_cell_004"
"225","HepG2_07_cell_005","HepG2","HepG2_07","test","data\raw\res\HepG2\HepG2_07_cell_005"
"226","HepG2_08_cell_002","HepG2","HepG2_08","train","data\raw\res\HepG2\HepG2_08_cell_002"
"227","HepG2_08_cell_003","HepG2","HepG2_08","train","data\raw\res\HepG2\HepG2_08_cell_003"
"228","HepG2_08_cell_004","HepG2","HepG2_08","train","data\raw\res\HepG2\HepG2_08_cell_004"
"229","HepG2_08_cell_005","HepG2","HepG2_08","train","data\raw\res\HepG2\HepG2_08_cell_005"
"230","HepG2_09_cell_001","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_001"
"231","HepG2_09_cell_002","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_002"
"232","HepG2_09_cell_003","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_003"
"233","HepG2_09_cell_004","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_004"
"234","HepG2_09_cell_005","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_005"
"235","HepG2_09_cell_006","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_006"
"236","HepG2_09_cell_007","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_007"
"237","HepG2_09_cell_008","HepG2","HepG2_09","val","data\raw\res\HepG2\HepG2_09_cell_008"
"238","HepG2_10_cell_001","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_001"
"239","HepG2_10_cell_002","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_002"
"240","HepG2_10_cell_003","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_003"
"241","HepG2_10_cell_004","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_004"
"242","HepG2_10_cell_005","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_005"
"243","HepG2_10_cell_006","HepG2","HepG2_10","train","data\raw\res\HepG2\HepG2_10_cell_006"
"244","HepG2_11_cell_001","HepG2","HepG2_11","test","data\raw\res\HepG2\HepG2_11_cell_001"
"245","HepG2_11_cell_002","HepG2","HepG2_11","test","data\raw\res\HepG2\HepG2_11_cell_002"
"246","HepG2_11_cell_003","HepG2","HepG2_11","test","data\raw\res\HepG2\HepG2_11_cell_003"
"247","HepG2_12_cell_001","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_001"
"248","HepG2_12_cell_002","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_002"
"249","HepG2_12_cell_003","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_003"
"250","HepG2_12_cell_004","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_004"
"251","HepG2_12_cell_005","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_005"
"252","HepG2_12_cell_006","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_006"
"253","HepG2_12_cell_007","HepG2","HepG2_12","test","data\raw\res\HepG2\HepG2_12_cell_007"
"254","HepG2_13_cell_001","HepG2","HepG2_13","train","data\raw\res\HepG2\HepG2_13_cell_001"
"255","HepG2_13_cell_002","HepG2","HepG2_13","train","data\raw\res\HepG2\HepG2_13_cell_002"
"256","HepG2_13_cell_003","HepG2","HepG2_13","train","data\raw\res\HepG2\HepG2_13_cell_003"
"257","HepG2_13_cell_004","HepG2","HepG2_13","train","data\raw\res\HepG2\HepG2_13_cell_004"
"258","HepG2_13_cell_005","HepG2","HepG2_13","train","data\raw\res\HepG2\HepG2_13_cell_005"
"259","HepG2_14_cell_001","HepG2","HepG2_14","val","data\raw\res\HepG2\HepG2_14_cell_001"
"260","HepG2_14_cell_002","HepG2","HepG2_14","val","data\raw\res\HepG2\HepG2_14_cell_002"
"261","HepG2_14_cell_003","HepG2","HepG2_14","val","data\raw\res\HepG2\HepG2_14_cell_003"
"262","HepG2_14_cell_004","HepG2","HepG2_14","val","data\raw\res\HepG2\HepG2_14_cell_004"
"263","HepG2_14_cell_005","HepG2","HepG2_14","val","data\raw\res\HepG2\HepG2_14_cell_005"
"264","HepG2_15_cell_001","HepG2","HepG2_15","train","data\raw\res\HepG2\HepG2_15_cell_001"
"265","HepG2_15_cell_002","HepG2","HepG2_15","train","data\raw\res\HepG2\HepG2_15_cell_002"
"266","HepG2_15_cell_003","HepG2","HepG2_15","train","data\raw\res\HepG2\HepG2_15_cell_003"
"267","HepG2_15_cell_004","HepG2","HepG2_15","train","data\raw\res\HepG2\HepG2_15_cell_004"
"268","HepG2_15_cell_005","HepG2","HepG2_15","train","data\raw\res\HepG2\HepG2_15_cell_005"
"269","HepG2_16_cell_001","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_001"
"270","HepG2_16_cell_002","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_002"
"271","HepG2_16_cell_003","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_003"
"272","HepG2_16_cell_004","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_004"
"273","HepG2_16_cell_005","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_005"
"274","HepG2_16_cell_006","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_006"
"275","HepG2_16_cell_007","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_007"
"276","HepG2_16_cell_008","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_008"
"277","HepG2_16_cell_009","HepG2","HepG2_16","train","data\raw\res\HepG2\HepG2_16_cell_009"
"278","HepG2_17_cell_001","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_001"
"279","HepG2_17_cell_002","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_002"
"280","HepG2_17_cell_003","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_003"
