cell_group,cell_group_label,image_name,organelle,intersection_pixels,gt_foreground_pixels,predicted_foreground_pixels,false_positive_pixels,false_negative_pixels,dice,height,width,gt_mask_path,predicted_mask_path
2DGCell,2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,nucleus,75324,93360,76954,1630,18036,0.8845309252,550,800,Manually Annotated Results/2DGCell/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB_nucleus.png
2DGCell,2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,nucleolus,8585,9535,10190,1605,950,0.870468948,550,800,Manually Annotated Results/2DGCell/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB_nucleolus.png
2DGCell,2DG,P2New_images_20251226_163553_RGB,cytoplasm,103527,113029,122033,18506,9502,0.880848457,550,800,Manually Annotated Results/2DGCell/P2New_images_20251226_163553_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/P2New_images_20251226_163553_RGB_cytoplasm.png
2DGCell,2DG,P2New_images_20251226_163553_RGB,nucleus,64012,74916,65380,1368,10904,0.9125277984,550,800,Manually Annotated Results/2DGCell/P2New_images_20251226_163553_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/P2New_images_20251226_163553_RGB_nucleus.png
2DGCell,2DG,P2New_images_20251226_163553_RGB,nucleolus,6704,7635,7882,1178,931,0.8640845524,550,800,Manually Annotated Results/2DGCell/P2New_images_20251226_163553_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/P2New_images_20251226_163553_RGB_nucleolus.png
2DGCell,2DG,P3New_images_20251226_170333_RGB,cytoplasm,106374,127319,126283,19909,20945,0.838905056,550,800,Manually Annotated Results/2DGCell/P3New_images_20251226_170333_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/P3New_images_20251226_170333_RGB_cytoplasm.png
2DGCell,2DG,P3New_images_20251226_170333_RGB,nucleus,61074,73031,63856,2782,11957,0.892327248,550,800,Manually Annotated Results/2DGCell/P3New_images_20251226_170333_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/P3New_images_20251226_170333_RGB_nucleus.png
2DGCell,2DG,P3New_images_20251226_170333_RGB,nucleolus,5711,6963,7059,1348,1252,0.8145770931,550,800,Manually Annotated Results/2DGCell/P3New_images_20251226_170333_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/P3New_images_20251226_170333_RGB_nucleolus.png
4T1,4T1,4t1_save_20260723_155148_HSV_RGB,cytoplasm,30561,33464,36592,6031,2903,0.8724734498,550,800,Manually Annotated Results/4T1/4t1_save_20260723_155148_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4t1_save_20260723_155148_HSV_RGB_cytoplasm.png
4T1,4T1,4t1_save_20260723_155148_HSV_RGB,nucleus,19442,24377,19903,461,4935,0.8781391147,550,800,Manually Annotated Results/4T1/4t1_save_20260723_155148_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4t1_save_20260723_155148_HSV_RGB_nucleus.png
4T1,4T1,4t1_save_20260723_155148_HSV_RGB,nucleolus,3057,3736,3349,292,679,0.8629498941,550,800,Manually Annotated Results/4T1/4t1_save_20260723_155148_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4t1_save_20260723_155148_HSV_RGB_nucleolus.png
4T1,4T1,4t1_save_20260723_162941_HSV_RGB,cytoplasm,69765,76848,78028,8263,7083,0.9009142798,550,800,Manually Annotated Results/4T1/4t1_save_20260723_162941_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4t1_save_20260723_162941_HSV_RGB_cytoplasm.png
4T1,4T1,4t1_save_20260723_162941_HSV_RGB,nucleus,31096,37059,33129,2033,5963,0.8860773921,550,800,Manually Annotated Results/4T1/4t1_save_20260723_162941_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4t1_save_20260723_162941_HSV_RGB_nucleus.png
4T1,4T1,4t1_save_20260723_162941_HSV_RGB,nucleolus,3608,4347,5110,1502,739,0.7630326742,550,800,Manually Annotated Results/4T1/4t1_save_20260723_162941_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4t1_save_20260723_162941_HSV_RGB_nucleolus.png
4T1,4T1,4t1_save_20260723_165842_HSV_RGB,cytoplasm,52452,65322,62072,9620,12870,0.8234610735,550,800,Manually Annotated Results/4T1/4t1_save_20260723_165842_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4t1_save_20260723_165842_HSV_RGB_cytoplasm.png
4T1,4T1,4t1_save_20260723_165842_HSV_RGB,nucleus,32542,40538,38892,6350,7996,0.8193881405,550,800,Manually Annotated Results/4T1/4t1_save_20260723_165842_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4t1_save_20260723_165842_HSV_RGB_nucleus.png
4T1,4T1,4t1_save_20260723_165842_HSV_RGB,nucleolus,5073,6292,6085,1012,1219,0.8197463036,550,800,Manually Annotated Results/4T1/4t1_save_20260723_165842_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4t1_save_20260723_165842_HSV_RGB_nucleolus.png
4T1,4T1,4T1_save_20260724_123502_HSV_RGB,cytoplasm,36279,38832,44307,8028,2553,0.8727312092,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123502_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4T1_save_20260724_123502_HSV_RGB_cytoplasm.png
4T1,4T1,4T1_save_20260724_123502_HSV_RGB,nucleus,27092,31349,27683,591,4257,0.9178750508,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123502_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4T1_save_20260724_123502_HSV_RGB_nucleus.png
4T1,4T1,4T1_save_20260724_123502_HSV_RGB,nucleolus,3193,4084,3537,344,891,0.8379477759,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123502_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4T1_save_20260724_123502_HSV_RGB_nucleolus.png
4T1,4T1,4T1_save_20260724_123703_HSV_RGB,cytoplasm,101683,115067,111642,9959,13384,0.8970354066,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123703_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4T1_save_20260724_123703_HSV_RGB_cytoplasm.png
4T1,4T1,4T1_save_20260724_123703_HSV_RGB,nucleus,48872,55106,53890,5018,6234,0.8967668538,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123703_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4T1_save_20260724_123703_HSV_RGB_nucleus.png
4T1,4T1,4T1_save_20260724_123703_HSV_RGB,nucleolus,5880,8237,6839,959,2357,0.780047758,550,800,Manually Annotated Results/4T1/4T1_save_20260724_123703_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4T1_save_20260724_123703_HSV_RGB_nucleolus.png
4T1,4T1,4T1_save_20260724_141221_HSV_RGB,cytoplasm,49000,56291,57084,8084,7291,0.8643880926,550,800,Manually Annotated Results/4T1/4T1_save_20260724_141221_HSV_RGB/cytoplasm_labels.png,Predicted Results/4T1/FinalMasks/Cytoplasm_binary/4T1_save_20260724_141221_HSV_RGB_cytoplasm.png
4T1,4T1,4T1_save_20260724_141221_HSV_RGB,nucleus,35322,41488,38005,2683,6166,0.8886820223,550,800,Manually Annotated Results/4T1/4T1_save_20260724_141221_HSV_RGB/nucleus_labels.png,Predicted Results/4T1/FinalMasks/Nucleus_binary/4T1_save_20260724_141221_HSV_RGB_nucleus.png
4T1,4T1,4T1_save_20260724_141221_HSV_RGB,nucleolus,6946,8313,7659,713,1367,0.8697721012,550,800,Manually Annotated Results/4T1/4T1_save_20260724_141221_HSV_RGB/nucleolus_labels.png,Predicted Results/4T1/FinalMasks/Nucleolus_binary/4T1_save_20260724_141221_HSV_RGB_nucleolus.png
HeLa,HeLa,Hela1,cytoplasm,128562,138769,154003,25441,10207,0.8782397224,550,800,Manually Annotated Results/HeLa/Hela1/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela1_cytoplasm.png
HeLa,HeLa,Hela1,nucleus,62142,74224,64318,2176,12082,0.8970853604,550,800,Manually Annotated Results/HeLa/Hela1/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela1_nucleus.png
HeLa,HeLa,Hela1,nucleolus,8247,9784,9113,866,1537,0.8728369582,550,800,Manually Annotated Results/HeLa/Hela1/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela1_nucleolus.png
HeLa,HeLa,Hela2,cytoplasm,112127,124349,131040,18913,12222,0.8780879364,550,800,Manually Annotated Results/HeLa/Hela2/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela2_cytoplasm.png
HeLa,HeLa,Hela2,nucleus,49732,63808,50626,894,14076,0.869182236,550,800,Manually Annotated Results/HeLa/Hela2/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela2_nucleus.png
HeLa,HeLa,Hela2,nucleolus,6173,7435,6556,383,1262,0.8824244157,550,800,Manually Annotated Results/HeLa/Hela2/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela2_nucleolus.png
HeLa,HeLa,Hela3,cytoplasm,81248,102044,97760,16512,20796,0.8132770115,550,800,Manually Annotated Results/HeLa/Hela3/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela3_cytoplasm.png
HeLa,HeLa,Hela3,nucleus,41492,48397,51271,9779,6905,0.8326042461,550,800,Manually Annotated Results/HeLa/Hela3/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela3_nucleus.png
HeLa,HeLa,Hela3,nucleolus,5839,7217,6613,774,1378,0.8443962401,550,800,Manually Annotated Results/HeLa/Hela3/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela3_nucleolus.png
HeLa,HeLa,Hela4,cytoplasm,83730,111084,96571,12841,27354,0.8064337483,550,800,Manually Annotated Results/HeLa/Hela4/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela4_cytoplasm.png
HeLa,HeLa,Hela4,nucleus,36214,44068,45902,9688,7854,0.8050238969,550,800,Manually Annotated Results/HeLa/Hela4/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela4_nucleus.png
HeLa,HeLa,Hela4,nucleolus,4958,6518,5478,520,1560,0.8266088696,550,800,Manually Annotated Results/HeLa/Hela4/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela4_nucleolus.png
HeLa,HeLa,Hela5,cytoplasm,86426,101117,97205,10779,14691,0.8715724932,550,800,Manually Annotated Results/HeLa/Hela5/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela5_cytoplasm.png
HeLa,HeLa,Hela5,nucleus,39481,43693,47124,7643,4212,0.8694627658,550,800,Manually Annotated Results/HeLa/Hela5/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela5_nucleus.png
HeLa,HeLa,Hela5,nucleolus,5333,6479,5821,488,1146,0.8671544715,550,800,Manually Annotated Results/HeLa/Hela5/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela5_nucleolus.png
HeLa,HeLa,Hela6,cytoplasm,122490,141868,136813,14323,19378,0.8790696172,550,800,Manually Annotated Results/HeLa/Hela6/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela6_cytoplasm.png
HeLa,HeLa,Hela6,nucleus,68558,79958,70392,1834,11400,0.9119787163,550,800,Manually Annotated Results/HeLa/Hela6/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela6_nucleus.png
HeLa,HeLa,Hela6,nucleolus,9690,12259,10315,625,2569,0.85850979,550,800,Manually Annotated Results/HeLa/Hela6/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela6_nucleolus.png
HeLa,HeLa,Hela7,cytoplasm,53023,61911,59303,6280,8888,0.8748659396,550,800,Manually Annotated Results/HeLa/Hela7/cytoplasm_labels.png,Predicted Results/HeLa/FinalMasks/Cytoplasm_binary/Hela7_cytoplasm.png
HeLa,HeLa,Hela7,nucleus,27945,33689,28284,339,5744,0.9018443516,550,800,Manually Annotated Results/HeLa/Hela7/nucleus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleus_binary/Hela7_nucleus.png
HeLa,HeLa,Hela7,nucleolus,4187,5282,4590,403,1095,0.8482576985,550,800,Manually Annotated Results/HeLa/Hela7/nucleolus_labels.png,Predicted Results/HeLa/FinalMasks/Nucleolus_binary/Hela7_nucleolus.png
HePG2,HepG2,HeG2p_images_20251207_163322_RGB,cytoplasm,49955,53251,59487,9532,3296,0.8862140538,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2p_images_20251207_163322_RGB/cytoplasm_labels.png,Predicted Results/HePG2/FinalMasks/Cytoplasm_binary/HeG2p_images_20251207_163322_RGB_cytoplasm.png
HePG2,HepG2,HeG2p_images_20251207_163322_RGB,nucleus,17892,21475,19512,1620,3583,0.8730573109,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2p_images_20251207_163322_RGB/nucleus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleus_binary/HeG2p_images_20251207_163322_RGB_nucleus.png
HePG2,HepG2,HeG2p_images_20251207_163322_RGB,nucleolus,1936,2399,2149,213,463,0.8513632366,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2p_images_20251207_163322_RGB/nucleolus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleolus_binary/HeG2p_images_20251207_163322_RGB_nucleolus.png
HePG2,HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,cytoplasm,62132,65223,75504,13372,3091,0.8830146312,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2pZ2-1UM_images_20251207_170439_RGB/cytoplasm_labels.png,Predicted Results/HePG2/FinalMasks/Cytoplasm_binary/HeG2pZ2-1UM_images_20251207_170439_RGB_cytoplasm.png
HePG2,HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,nucleus,27150,32394,29500,2350,5244,0.8773063625,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2pZ2-1UM_images_20251207_170439_RGB/nucleus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleus_binary/HeG2pZ2-1UM_images_20251207_170439_RGB_nucleus.png
HePG2,HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,nucleolus,2557,3107,3075,518,550,0.8272403753,550,800,Manually Annotated Results/HePG2/HePG2Cells/HeG2pZ2-1UM_images_20251207_170439_RGB/nucleolus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleolus_binary/HeG2pZ2-1UM_images_20251207_170439_RGB_nucleolus.png
HePG2,HepG2,HepG2-2_images_20251217_105011_RGB,cytoplasm,97609,106381,111875,14266,8772,0.8944450553,550,800,Manually Annotated Results/HePG2/HePG2Cells/HepG2-2_images_20251217_105011_RGB/cytoplasm_labels.png,Predicted Results/HePG2/FinalMasks/Cytoplasm_binary/HepG2-2_images_20251217_105011_RGB_cytoplasm.png
HePG2,HepG2,HepG2-2_images_20251217_105011_RGB,nucleus,55978,62446,60280,4302,6468,0.9122435344,550,800,Manually Annotated Results/HePG2/HePG2Cells/HepG2-2_images_20251217_105011_RGB/nucleus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleus_binary/HepG2-2_images_20251217_105011_RGB_nucleus.png
HePG2,HepG2,HepG2-2_images_20251217_105011_RGB,nucleolus,4285,4880,5395,1110,595,0.8340632603,550,800,Manually Annotated Results/HePG2/HePG2Cells/HepG2-2_images_20251217_105011_RGB/nucleolus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleolus_binary/HepG2-2_images_20251217_105011_RGB_nucleolus.png
HePG2,HepG2,P3Before2DG_images_20251226_153335_RGB,cytoplasm,110129,120237,133219,23090,10108,0.8690186857,550,800,Manually Annotated Results/HePG2/HePG2Cells/P3Before2DG_images_20251226_153335_RGB/cytoplasm_labels.png,Predicted Results/HePG2/FinalMasks/Cytoplasm_binary/P3Before2DG_images_20251226_153335_RGB_cytoplasm.png
HePG2,HepG2,P3Before2DG_images_20251226_153335_RGB,nucleus,39955,48417,47300,7345,8462,0.834856922,550,800,Manually Annotated Results/HePG2/HePG2Cells/P3Before2DG_images_20251226_153335_RGB/nucleus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleus_binary/P3Before2DG_images_20251226_153335_RGB_nucleus.png
HePG2,HepG2,P3Before2DG_images_20251226_153335_RGB,nucleolus,5261,6546,7223,1962,1285,0.7641804053,550,800,Manually Annotated Results/HePG2/HePG2Cells/P3Before2DG_images_20251226_153335_RGB/nucleolus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleolus_binary/P3Before2DG_images_20251226_153335_RGB_nucleolus.png
HePG2,HepG2,P4Before2DG_images_20251226_153445_RGB,cytoplasm,74753,80499,88498,13745,5746,0.8846665917,550,800,Manually Annotated Results/HePG2/HePG2Cells/P4Before2DG_images_20251226_153445_RGB/cytoplasm_labels.png,Predicted Results/HePG2/FinalMasks/Cytoplasm_binary/P4Before2DG_images_20251226_153445_RGB_cytoplasm.png
HePG2,HepG2,P4Before2DG_images_20251226_153445_RGB,nucleus,26971,30555,30242,3271,3584,0.887247726,550,800,Manually Annotated Results/HePG2/HePG2Cells/P4Before2DG_images_20251226_153445_RGB/nucleus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleus_binary/P4Before2DG_images_20251226_153445_RGB_nucleus.png
HePG2,HepG2,P4Before2DG_images_20251226_153445_RGB,nucleolus,3046,3812,3790,744,766,0.801368061,550,800,Manually Annotated Results/HePG2/HePG2Cells/P4Before2DG_images_20251226_153445_RGB/nucleolus_labels.png,Predicted Results/HePG2/FinalMasks/Nucleolus_binary/P4Before2DG_images_20251226_153445_RGB_nucleolus.png
OA,OA,Newcell3_images_20251019_234707_RGB,cytoplasm,64309,71305,75264,10955,6996,0.8775252611,550,800,Manually Annotated Results/OA/OA/Newcell3_images_20251019_234707_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/Newcell3_images_20251019_234707_RGB_cytoplasm.png
OA,OA,Newcell3_images_20251019_234707_RGB,nucleus,38662,44893,39696,1034,6231,0.9141141283,550,800,Manually Annotated Results/OA/OA/Newcell3_images_20251019_234707_RGB/nucleus_labels.png,Predicted Results/OA/FinalMasks/Nucleus_binary/Newcell3_images_20251019_234707_RGB_nucleus.png
OA,OA,Newcell3_images_20251019_234707_RGB,nucleolus,4113,5146,4617,504,1033,0.8425688825,550,800,Manually Annotated Results/OA/OA/Newcell3_images_20251019_234707_RGB/nucleolus_labels.png,Predicted Results/OA/FinalMasks/Nucleolus_binary/Newcell3_images_20251019_234707_RGB_nucleolus.png
OA,OA,OA2FOV2_images_20251215_211817_RGB,cytoplasm,137562,152791,167293,29731,15229,0.8595368716,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211817_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/OA2FOV2_images_20251215_211817_RGB_cytoplasm.png
OA,OA,OA2FOV2_images_20251215_211817_RGB,nucleus,55279,70162,62714,7435,14883,0.8320388934,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211817_RGB/nucleus_labels.png,Predicted Results/OA/FinalMasks/Nucleus_binary/OA2FOV2_images_20251215_211817_RGB_nucleus.png
OA,OA,OA2FOV2_images_20251215_211817_RGB,nucleolus,6871,8528,8532,1661,1657,0.8055099648,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211817_RGB/nucleolus_labels.png,Predicted Results/OA/FinalMasks/Nucleolus_binary/OA2FOV2_images_20251215_211817_RGB_nucleolus.png
OA,OA,OA2FOV2_images_20251215_211925_RGB,cytoplasm,137755,155974,171475,33720,18219,0.8413829329,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211925_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/OA2FOV2_images_20251215_211925_RGB_cytoplasm.png
OA,OA,OA2FOV2_images_20251215_211925_RGB,nucleus,54399,70298,58899,4500,15899,0.8421093369,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211925_RGB/nucleus_labels.png,Predicted Results/OA/FinalMasks/Nucleus_binary/OA2FOV2_images_20251215_211925_RGB_nucleus.png
OA,OA,OA2FOV2_images_20251215_211925_RGB,nucleolus,7876,9022,9608,1732,1146,0.8455179817,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211925_RGB/nucleolus_labels.png,Predicted Results/OA/FinalMasks/Nucleolus_binary/OA2FOV2_images_20251215_211925_RGB_nucleolus.png
OA,OA,OA2FOV2_images_20251215_211939_RGB,cytoplasm,146178,159855,168603,22425,13677,0.8900864037,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211939_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/OA2FOV2_images_20251215_211939_RGB_cytoplasm.png
OA,OA,OA2FOV2_images_20251215_211939_RGB,nucleus,56968,66865,61499,4531,9897,0.887600885,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211939_RGB/nucleus_labels.png,Predicted Results/OA/FinalMasks/Nucleus_binary/OA2FOV2_images_20251215_211939_RGB_nucleus.png
OA,OA,OA2FOV2_images_20251215_211939_RGB,nucleolus,8056,9088,9806,1750,1032,0.8527574891,550,800,Manually Annotated Results/OA/OA/OA2FOV2_images_20251215_211939_RGB/nucleolus_labels.png,Predicted Results/OA/FinalMasks/Nucleolus_binary/OA2FOV2_images_20251215_211939_RGB_nucleolus.png
OA,OA,OA9LongTime_images_20250925_225313_RGB,cytoplasm,81270,92186,97160,15890,10916,0.8584284854,550,800,Manually Annotated Results/OA/OA/OA9LongTime_images_20250925_225313_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/OA9LongTime_images_20250925_225313_RGB_cytoplasm.png
OA,OA,OA9LongTime_images_20250925_225313_RGB,nucleus,52516,64070,54856,2340,11554,0.8831710475,550,800,Manually Annotated Results/OA/OA/OA9LongTime_images_20250925_225313_RGB/nucleus_labels.png,Predicted Results/OA/FinalMasks/Nucleus_binary/OA9LongTime_images_20250925_225313_RGB_nucleus.png
OA,OA,OA9LongTime_images_20250925_225313_RGB,nucleolus,4860,5598,5617,757,738,0.8666963888,550,800,Manually Annotated Results/OA/OA/OA9LongTime_images_20250925_225313_RGB/nucleolus_labels.png,Predicted Results/OA/FinalMasks/Nucleolus_binary/OA9LongTime_images_20250925_225313_RGB_nucleolus.png
OA,OA,OAcellsLFOV3_images_20251113_220216_RGB,cytoplasm,120768,168166,148054,27286,47398,0.7638226551,550,800,Manually Annotated Results/OA/OA/OAcellsLFOV3_images_20251113_220216_RGB/cytoplasm_labels.png,Predicted Results/OA/FinalMasks/Cytoplasm_binary/OAcellsLFOV3_images_20251113_220216_RGB_cytoplasm.png
